i = 1;i <= maxValue;if (i % 2 !== 0 && i % 5 === 0);"output += ""SnapCrackle, """;else if (i % 2 !== 0);"output += ""Snap, """;else if (i % 5 === 0);"output += ""Crackle, """;else if (i % 2 === 0 && i % 5 !== 0);"output += i + "", """;i++;output
1;true;false;-;true;"""Snap, """;-;-;-;-;1 + 1 = 2;-
2;true;false;-;false;-;false;-;true;2;2 + 1 = 3;-
3;true;false;-;true;"""Snap, """;false;-;false;-;3 + 1 = 4;-
4;true;false;-;false;-;false;-;true;4;4 + 1 = 5;-
5;true;true;" ""SnapCrackle, """;false;-;false;-;false;-;5 + 1 = 6;-
6;true;false;-;false;-;false;-;true;6;6 + 1 = 7;-
7;true;false;-;true;"""Snap, """;false;-;false;-;7 + 1 = 8;-
8;true;false;-;false;-;false;-;true;8;8 + 1 = 9;-
9;true;false;-;true;"""Snap, """;false;-;false;-;9 + 1 = 10;-
10;true;false;-;false;-;true;"""Crackle, """;false;-;10 + 1 = 11;-
11;false;-;-;-;-;-;-;-;-;-;11